series_num,status,year,doy,datetime,rocket,pot_name,pot_lat,pot_lon,orbit,mass,dst_mean,dst
1,0,1970,114,1970-04-24 13:35:44.700000,长征一号（601904/遥4）,第20训练基地第一试验部二号发射阵地5020工位41°18′22″N,41.30614,100.31322,近地椭圆轨道,东方红一号卫星 ,,
2,0,1971,62,1971-03-03 12:03:00.000000,长征一号,第20训练基地第一试验部二号发射阵地5020工位41°18′22″N,41.30614,100.31322,近地椭圆轨道,实践一号科学探测与技术试验卫星 ,,
3,0,1974,309,1974-11-05 09:40:00.000000,长征二号（701403/遥3）,第20训练基地第一试验部二号发射阵地138工位41°18′32″N,41.30891,100.31664,近地轨道,尖兵一号国土普查卫星00星（返回式遥感卫星0号00星）（科学探测与技术试验卫星） ,,
4,0,1975,330,1975-11-26 03:29:52.000000,长征二号甲（701504/遥4）（长征二号丙）[注4],第20试验训练基地二号发射阵地138工位41°18′32″N,41.30891,100.31664,近地轨道,尖兵一号国土普查卫星01星（返回式遥感卫星0号01星）（科学探测与技术试验卫星） ,,
5,0,1976,342,1976-12-07 04:38:00.000000,长征二号甲（遥5）（长征二号丙）[注4],第20试验训练基地二号发射阵地138工位41°18′32″N,41.30891,100.31664,近地轨道,尖兵一号国土普查卫星02星（返回式遥感卫星0号02星）（科学探测与技术试验卫星） ,,
6,0,1978,26,1978-01-26 04:58:00.000000,长征二号甲（遥6）（长征二号丙）[注4],第20试验训练基地二号发射阵地138工位41°18′32″N,41.30891,100.31664,近地轨道,尖兵一号国土普查卫星03星（返回式遥感卫星0号03星）（科学探测与技术试验卫星） ,,
7,0,1982,252,1982-09-09 07:19:00.000000,长征二号丙（遥1）,第20试验训练基地二号发射阵地138工位41°18′32″N,41.30891,100.31664,近地轨道,尖兵一号国土普查卫星04星（返回式遥感卫星0号04星）（科学探测与技术试验卫星） ,,
8,0,1983,231,1983-08-19 06:00:00.000000,长征二号丙（遥802302/遥2）,第20试验训练基地二号发射阵地138工位41°18′32″N,41.30891,100.31664,近地轨道,尖兵一号国土普查卫星05星（返回式遥感卫星0号05星）（科学探测与技术试验卫星） ,,
9,0,1984,29,1984-01-29 12:25:00.000000,长征三号（遥801301/遥1）,第27试验训练基地三号发射工位28°14′49″N,28.24705,102.02906,地球同步转移轨道,东方红二号试验通信卫星 ,,
10,0,1984,99,1984-04-08 11:20:02.000000,长征三号（遥801302/遥2）,第27试验训练基地三号发射工位28°14′49″N,28.24705,102.02906,地球同步转移轨道,东方红二号试验通信卫星（试验同步通信卫星） ,,
11,0,1984,256,1984-09-12 05:44:00.000000,长征二号丙（遥802403/遥3）,第20试验训练基地二号发射阵地138工位41°18′32″N,41.30891,100.31664,近地轨道,尖兵一号国土普查卫星06星（返回式遥感卫星0号06星）（科学探测与技术试验卫星） ,,
12,0,1985,294,1985-10-21 05:04:00.000000,长征二号丙（遥802504/遥4）,第20试验训练基地二号发射阵地138工位41°18′32″N,41.30891,100.31664,近地轨道,尖兵一号国土普查卫星07星（返回式遥感卫星0号07星）（科学探测与技术试验卫星） ,,
